iteration,elapsed_time,LB,UB,gap,cuts_added,total_cuts
1,0.011247,6.000000,8.000000,0.250000,4,4
2,0.011513,6.000000,8.000000,0.250000,2,6
3,0.011525,6.000000,6.000000,0.000000,0,6
