iteration,elapsed_time,LB,UB,gap,cuts_added,total_cuts
1,0.006255,6288.843929,12159.000000,0.482783,200,200
2,0.012033,7445.628726,7867.000000,0.053562,191,391
3,0.018933,7709.652923,7867.000000,0.020001,171,562
4,0.023352,7773.393591,7867.000000,0.011899,91,653
5,0.025339,7783.500000,7867.000000,0.010614,41,694
6,0.025379,7783.500000,7867.000000,0.010614,0,694
