iteration,elapsed_time,LB,UB,gap,cuts_added,total_cuts
1,0.293544,2910729.348979,8447691.000000,0.655441,1304,1304
2,0.608091,3058868.032132,3843753.000000,0.204198,1303,2607
3,1.027690,3095329.749855,3621502.000000,0.145291,1021,3628
4,1.466427,3099069.326817,3100336.000000,0.000409,1013,4641
5,1.521884,3099073.000000,3099073.000000,0.000000,51,4692
6,1.522503,3099073.000000,3099073.000000,0.000000,0,4692
